Timestamp,Emotion
2024-10-13 22:31:10,neutral
2024-10-13 22:31:10,neutral
2024-10-13 22:31:10,neutral
2024-10-13 22:31:10,neutral
2024-10-13 22:31:10,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:11,neutral
2024-10-13 22:31:12,neutral
2024-10-13 22:31:12,neutral
2024-10-13 22:31:12,neutral
2024-10-13 22:31:12,neutral
2024-10-13 22:31:12,fear
2024-10-13 22:31:12,fear
2024-10-13 22:31:12,fear
2024-10-13 22:31:12,fear
2024-10-13 22:31:12,fear
2024-10-13 22:31:12,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,neutral
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,fear
2024-10-13 22:31:13,neutral
2024-10-13 22:31:13,neutral
2024-10-13 22:31:13,neutral
2024-10-13 22:31:13,surprise
2024-10-13 22:31:13,angry
2024-10-13 22:31:14,fear
2024-10-13 22:31:14,fear
2024-10-13 22:31:14,fear
2024-10-13 22:31:14,fear
2024-10-13 22:31:14,sad
2024-10-13 22:31:14,neutral
2024-10-13 22:31:14,neutral
2024-10-13 22:31:14,neutral
2024-10-13 22:31:14,sad
2024-10-13 22:31:14,neutral
2024-10-13 22:31:14,sad
2024-10-13 22:31:14,fear
2024-10-13 22:31:14,neutral
2024-10-13 22:31:15,neutral
2024-10-13 22:31:15,neutral
2024-10-13 22:31:15,neutral
2024-10-13 22:31:15,surprise
2024-10-13 22:31:15,surprise
2024-10-13 22:31:15,surprise
2024-10-13 22:31:15,neutral
2024-10-13 22:31:15,angry
2024-10-13 22:31:15,neutral
2024-10-13 22:31:15,neutral
